document_count,evaluation_method,scoring_type,field_name,stats_name,tp,fp,fn,tn,accuracy,precision,recall,f1,jaccard
10,exact,partial_set,reference_author_given_names,None,45,127,1,3226,0.9623418652544866,0.2616279069767442,0.9782608695652174,0.41284403669724773,0.26011560693641617
10,exact,partial_set,reference_author_full_names,None,44,132,2,3221,0.9605766401882907,0.25,0.9565217391304348,0.3963963963963964,0.24719101123595505
10,exact,partial_set,reference_title,None,99,19,4,3277,0.9932333039129155,0.8389830508474576,0.9611650485436893,0.8959276018099547,0.8114754098360656
10,exact,partial_set,reference_year,None,83,40,1,3275,0.9879376287143278,0.6747967479674797,0.9880952380952381,0.8019323671497585,0.6693548387096774
10,exact,partial_set,reference_source,None,83,48,1,3267,0.9855839952927331,0.6335877862595419,0.9880952380952381,0.772093023255814,0.6287878787878788
10,exact,partial_set,reference_publication_type,None,10,8,0,3381,0.9976463665784054,0.5555555555555556,1.0,0.7142857142857143,0.5555555555555556
10,exact,partial_set,reference_volume,None,100,43,1,3255,0.9870550161812298,0.6993006993006993,0.9900990099009901,0.819672131147541,0.6944444444444444
10,exact,partial_set,reference_fpage,None,113,52,4,3230,0.9835245660488379,0.6848484848484848,0.9658119658119658,0.8014184397163121,0.6686390532544378
10,exact,partial_set,reference_lpage,None,33,131,4,3231,0.9602824360105914,0.20121951219512196,0.8918918918918919,0.3283582089552239,0.19642857142857142
10,exact,partial_set,reference_doi,None,0,0,0,3399,1.0,0,0,0,0
10,exact,partial_set,reference_pmid,None,0,0,106,3293,0.9688143571638718,0,0.0,0,0.0
10,exact,partial_set,reference_pmcid,None,0,0,0,3399,1.0,0,0,0,0
10,exact,partial_set,None,micro,None,None,None,None,0.9880414654829275,0.42389687654933067,0.7953488372093023,0.5530401034928848,0.3822083147071971
10,exact,partial_set,None,macro,None,None,None,None,0.9880414654829274,0.2968148843735821,0.5710578952823359,0.37341196183948383,0.28043914669213604
10,levenshtein,partial_set,corresp_author_surnames,None,0,3,1,3049,0.998689813298395,0.0,0.0,0,0.0
10,levenshtein,partial_set,author_surnames,None,33,26,0,2994,0.9914837864395677,0.559322033898305,1.0,0.717391304347826,0.559322033898305
10,levenshtein,partial_set,corresp_author_given_names,None,0,3,1,3049,0.998689813298395,0.0,0.0,0,0.0
10,levenshtein,partial_set,author_given_names,None,37,22,0,2994,0.9927939731411726,0.6271186440677966,1.0,0.7708333333333333,0.6271186440677966
10,levenshtein,partial_set,corresp_author_full_names,None,0,3,1,3049,0.998689813298395,0.0,0.0,0,0.0
10,levenshtein,partial_set,author_full_names,None,35,26,0,2992,0.9914837864395677,0.5737704918032787,1.0,0.7291666666666666,0.5737704918032787
10,levenshtein,partial_set,corresp_author_emails,None,0,3,0,3050,0.9990173599737963,0.0,0,0,0.0
10,levenshtein,partial_set,author_emails,None,2,1,1,3049,0.9993449066491975,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5
10,levenshtein,partial_set,affiliation_text,None,0,0,23,3030,0.9924664264657713,0,0.0,0,0.0
10,levenshtein,partial_set,affiliation_strings,None,10,11,5,3027,0.99475925319358,0.47619047619047616,0.6666666666666666,0.5555555555555556,0.38461538461538464
10,levenshtein,partial_set,affiliation_label,None,0,0,20,3033,0.9934490664919751,0,0.0,0,0.0
10,levenshtein,partial_set,affiliation_institution,None,7,13,1,3032,0.9954143465443825,0.35,0.875,0.4999999999999999,0.3333333333333333
10,levenshtein,partial_set,affiliation_country,None,2,12,2,3037,0.9954143465443825,0.14285714285714285,0.5,0.22222222222222224,0.125
10,levenshtein,partial_set,body_section_titles,None,60,12,7,2974,0.9937766131673763,0.8333333333333334,0.8955223880597015,0.8633093525179857,0.759493670886076
10,levenshtein,partial_set,table_labels,None,8,7,2,3036,0.9970520799213888,0.5333333333333333,0.8,0.64,0.47058823529411764
10,levenshtein,partial_set,table_captions,None,8,10,1,3034,0.9963969865705863,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.42105263157894735
10,levenshtein,partial_set,table_label_captions,None,8,11,1,3033,0.996069439895185,0.42105263157894735,0.8888888888888888,0.5714285714285714,0.4
10,levenshtein,partial_set,figure_labels,None,12,8,7,3026,0.9950867998689813,0.6,0.631578947368421,0.6153846153846154,0.4444444444444444
10,levenshtein,partial_set,figure_captions,None,13,13,8,3019,0.9931215198165738,0.5,0.6190476190476191,0.5531914893617021,0.38235294117647056
10,levenshtein,partial_set,figure_label_captions,None,13,13,8,3019,0.9931215198165738,0.5,0.6190476190476191,0.5531914893617021,0.38235294117647056
10,levenshtein,partial_set,reference_text,None,147,41,5,2860,0.9849328529315428,0.7819148936170213,0.9671052631578947,0.8647058823529411,0.7616580310880829
10,levenshtein,partial_set,reference_author_surnames,None,112,62,0,2879,0.9796921061251228,0.6436781609195402,1.0,0.7832167832167831,0.6436781609195402
10,levenshtein,partial_set,reference_author_given_names,None,50,122,1,2880,0.9597117589256469,0.29069767441860467,0.9803921568627451,0.4484304932735426,0.28901734104046245
10,levenshtein,partial_set,reference_author_full_names,None,101,75,0,2877,0.9754339993449066,0.5738636363636364,1.0,0.7292418772563177,0.5738636363636364
10,levenshtein,partial_set,reference_title,None,111,7,4,2931,0.9963969865705863,0.940677966101695,0.9652173913043478,0.9527896995708155,0.9098360655737705
10,levenshtein,partial_set,reference_year,None,83,40,1,2929,0.986570586308549,0.6747967479674797,0.9880952380952381,0.8019323671497585,0.6693548387096774
10,levenshtein,partial_set,reference_source,None,84,47,0,2922,0.9846053062561415,0.6412213740458015,1.0,0.7813953488372093,0.6412213740458015
10,levenshtein,partial_set,reference_publication_type,None,10,8,0,3035,0.99737962659679,0.5555555555555556,1.0,0.7142857142857143,0.5555555555555556
10,levenshtein,partial_set,reference_volume,None,100,43,1,2909,0.9855879462823453,0.6993006993006993,0.9900990099009901,0.819672131147541,0.6944444444444444
10,levenshtein,partial_set,reference_fpage,None,114,51,3,2885,0.9823124795283328,0.6909090909090909,0.9743589743589743,0.8085106382978723,0.6785714285714286
10,levenshtein,partial_set,reference_lpage,None,34,130,3,2886,0.9564362921716345,0.2073170731707317,0.918918918918919,0.33830845771144274,0.20359281437125748
10,levenshtein,partial_set,reference_doi,None,0,0,0,3053,1.0,0,0,0,0
10,levenshtein,partial_set,reference_pmid,None,0,0,106,2947,0.9652800524074681,0,0.0,0,0.0
10,levenshtein,partial_set,reference_pmcid,None,0,0,0,3053,1.0,0,0,0,0
10,levenshtein,partial_set,None,micro,None,None,None,None,0.9900194601260092,0.5919682697074864,0.8486140724946695,0.6974299065420559,0.5354260089686098
10,levenshtein,partial_set,None,macro,None,None,None,None,0.9900194601260089,0.40964770795716415,0.6422204305068702,0.4880418603688052,0.3818893659693613
