document_count,evaluation_method,scoring_type,field_name,stats_name,tp,fp,fn,tn,accuracy,precision,recall,f1,jaccard
10,levenshtein,partial_set,reference_pmcid,None,0,0,0,2741,1.0,0,0,0,0
10,levenshtein,partial_set,None,micro,None,None,None,None,0.9896023349142649,0.6653498871331829,0.7581993569131833,0.7087466185752932,0.5488826815642458
10,levenshtein,partial_set,None,macro,None,None,None,None,0.9896023349142647,0.30874836485341556,0.47804006592741227,0.36663731301743896,0.2968939889324531
10,exact,partial_table,tables,None,0,0,20,0,0.0,0,0.0,0,0.0
10,exact,partial_table,None,micro,None,None,None,None,0.0,0,0.0,0,0.0
10,exact,partial_table,None,macro,None,None,None,None,0.0,0.0,0.0,0.0,0.0
10,levenshtein,partial_table,tables,None,0,0,20,0,0.0,0,0.0,0,0.0
10,levenshtein,partial_table,None,micro,None,None,None,None,0.0,0,0.0,0,0.0
10,levenshtein,partial_table,None,macro,None,None,None,None,0.0,0.0,0.0,0.0,0.0
10,exact,partial_ulist,body_section_labels,None,0,0,19,3814,0.9950430472214975,0,0.0,0,0.0
10,exact,partial_ulist,body_section_titles,None,49,34,8,3742,0.9890425254369946,0.5903614457831325,0.8596491228070176,0.7000000000000001,0.5384615384615384
10,exact,partial_ulist,body_section_label_titles,None,61,22,8,3742,0.9921732324549961,0.7349397590361446,0.8840579710144928,0.8026315789473685,0.6703296703296703
10,exact,partial_ulist,body_reference_citation_text,None,81,97,84,3571,0.9527785024784764,0.4550561797752809,0.4909090909090909,0.47230320699708456,0.30916030534351147
10,exact,partial_ulist,body_asset_citation_text,None,0,0,76,3757,0.9801721888859901,0,0.0,0,0.0
10,exact,partial_ulist,back_section_labels,None,0,0,0,3833,1.0,0,0,0,0
10,exact,partial_ulist,back_section_titles,None,0,0,17,3816,0.9955648317244978,0,0.0,0,0.0
10,exact,partial_ulist,back_section_label_titles,None,0,0,17,3816,0.9955648317244978,0,0.0,0,0.0
